video_id,title,published_at,description,channel_title,channel_id,category_id,view_count,like_count,comment_count
oQCQtp01E-E,#food #funny #cooking #recipe #youtubeshorts #cooking #streetfood #snacks #shorts,2026-06-15T07:13:59Z,,RKHealthyfoodreceipezz,UCf10eJc8VNWZM7GyZi18F3Q,22,5384,30,1
FbmNpj8TTP4,Today lunch box recipe #food #trending #cooking #recipe #shorts,2026-06-15T07:13:36Z,,"𝐆𝐫𝐞𝐞𝐧 𝐡𝐨𝐮𝐬𝐞 𝐜𝐨𝐨𝐤𝐢𝐧𝐠
",UC9AtgUVa1bJaiMiF1VN6MkA,22,871,7,0
Rs1N5SPY0bc,khandvi recipe 😘#youtube #khandvi #gujrati #shots #dhokla #cooking #recipe #food #foodie #healtyfood,2026-06-15T06:54:23Z,khandvi recipe 😘#youtube #khandvi #gujrati #shots #dhokla #cooking #recipe #food #foodie #healtyfood,cook_at_home0818,UC5uHYEyUsZQgRjT8ZXtoV4g,22,48647,0,5
rkcPaNbgFWg,ঘ্যাটকোল রুই মাছের ডিম #food #cooking #recipe #mycooking,2026-06-15T06:51:17Z,"please subscribe my channel , please  subscribe my channel 


THANK YOU  FOR WATCHING",Gramoo randhansala,UCoMNUKDKchbkIvkOoTtKr0A,26,454,4,0
TSElmNMZdrw,Rainbow Sandwich #sandwich #viral #food #recipe #viralvideo #viral #cooking #shortvideo #shorts #yt,2026-06-15T06:47:08Z,,monukirasoi,UCzg_Qwzyw1QQ2w50oGqITEQ,22,718,5,1
tazQqLXGPmg,pahadi style Wai Wai 😋🍜 #shorts #ytshorts #food #recipe #trendingshorts #cooking #waiwainoodles,2026-06-15T06:47:12Z,,The Freedom Bird,UCVtEREwPXpgpH5Arw7YYXow,22,2083,7,0
YWgVCiD5K-8,usne Manga tu Diya 😆 #cooking #food #recipe #celebrity #funny #explorepage #shorts,2026-06-15T06:39:02Z,,Rita Home Kitchen,UCq1_TgkC_mllWl_uP2qx_Lw,26,22933,174,1
HcogX3xmgCk,पनीर सेनविच #food #shortvideo #indianfoodmadeeasy #cooking #cooking #indian #recipe #shortvideo 🙏👍,2026-06-15T06:33:20Z,,INDIAN BHOJAN,UCyCGFem9h9Ya9PhfI7WnnJQ,22,20345,189,2
lwiy8CIEpd0,সাদা মাটা নিরামিষ খাবার 🤤🫶🏼 #youtubeshorts #food #cooking #recipe #villagerlifestyle,2026-06-15T06:30:19Z,,Mr.& Mrs. Naiya,UCW2zV7G_Jqyu8zoXyvHYIPg,22,531,5,1
O0NLtZjH644,Dhaba Style Egg Curry ASMR Cooking #shorts #food#cooking #recipe #eggcurry #egg #nonveg #viral,2026-06-15T06:30:10Z,"Dhaba Style Egg Curry ASMR Cooking #shorts #food

#cooking #recipe #eggcurry #egg #nonveg #viral

#food #indianfood #cooking #shortvideo #easyrecipe #tasty
#foodie #lunchbox #lunch",Maaa Inti Vantalu,UCJgA_UGVfrYK8fCXdfuyxog,26,867,13,0
6p6K4BbDMj8,Qiyma goshtidan rulet tayyorlab yaqinlarizni xursand qiling #food #cooking #recipe #foodie #yummy,2026-06-15T06:26:41Z,,Shahlo_kitchen,UCB3PbYKfUloF3XoJSAm6nIw,22,725,9,0
dSCxUBA-R5k,#beautiful #nature #khwaza #food #mango #aam #allah #foodie #cooking #recipe #rice#mushkil#love #new,2026-06-15T06:14:45Z,,Bismil_kitchen,UCYGgTDOHftCdmpUhOVoDZpQ,29,892,61,0
