video_id,title,published_at,description,channel_title,channel_id,category_id,view_count,like_count,comment_count,view_velocity,engagement_ratio
gecNpOC-SGY,Cooking Time #food #chef #lifestyle #cooking #recipe #thai,2026-06-15T08:07:07Z,#food #chef #lifestyle #cooking #recipe #thai,KHEMRAJ VLOGS ,UC7kaCw191AvVMorpCheZbVQ,22,597,8,1,499.8725629651326,0.01507537688442211
fGyxwcUYqy0,VEGETABLE RICE #babykitchen #food #cooking #recipe #ytshorts #shorts #viral #song,2026-06-15T08:05:14Z,,Baby Kitchen,UCINWovP6SLCIdpZuKiwYzDQ,24,485,12,0,395.69442493954716,0.024742268041237112
7U8lJMk587I,জাম মাখা 😋🤤 #food #cooking #recipe,2026-06-15T08:01:17Z,,Br Manik Raj 1,UCk9xViX38kXwQ23IFD7ABRg,22,519,4,0,401.8500216613809,0.007707129094412331
W3yszmxUUbs,"""Easy and yummy 😋chicken momos 🥟recipe!"" #farhatskitchen #food #recipe #cooking",2026-06-15T08:00:26Z,"Ingredients (Quantity Guide)
Dough ke liye:
 Maida: 1.5 cup
 Namak: Ek chhota chammach (swad anusar)
 Pani: Gootne ke liye (jitni zaroorat ho)
Filling ke liye:
 Chicken Keema: 250-300 grams (boneless chicken ko mixer mein grind kar lein)
 Pyaz: 1 bada (bilkul barik kata hua)
 Soy Sauce: 1 bada chammach
 Red Pasta/Pizza Sauce: 1 bada chammach (jo video mein dikhaya gaya hai)
 Oil: 1 chhota chammach
 Namak: Swad anusar
 Masala: ½ chhota chammach (Black pepper powder ya Chicken masala)
Banane ka Tarika (Step-by-Step)
Step 1: Dough Taiyar Karein
 Ek bowl mein maida aur namak milayein. Thoda-thoda paani daalkar ek tight (sakht) aata goondh lein.
 Aate ko dhak kar 15-20 minute ke liye chhod dein taaki woh set ho jaye.
Step 2: Filling Taiyar Karein
 Ek bowl mein pisa hua chicken keema lein.
 Isme barik kata hua pyaz, soy sauce, red sauce, oil, namak aur masala powder daalein.
 Haath se acche se mix karein taaki sabhi cheezein chicken mein rach-bas jayein.
Step 3: Momos Shape Dein
 Aate ki choti-choti loiyan (balls) banayein aur unhein patla bel lein.
 Ek glass ya katori ki madad se gol shapes kaat lein (video ki tarah).
 Beech mein thodi si chicken filling rakhein, kinaron ko paani se halka gila karein aur pleated style mein fold karke band kar dein.
Step 4: Steam Karein
 Idli maker ya steamer ki plate par halka sa tel lagayein taaki momos chipke nahi.
 Momos ko steamer mein rakhein aur 10-12 minute tak medium heat par steam karein.
Step 5: Serving
 Jab momos transparent aur shine karne lagein, toh samajhiye woh taiyar hain!
 Inhein garam-garam Spicy Momos Chutney ke saath serve karein.
Pro Tip: Agar aap chahte hain ki filling aur juicy bane, toh chicken keema mein thoda sa butter ya ek chammach malai bhi mila sakte hain.",Farhat's Kitchen,UC2SWHvzx5sL88CkDTtGLaeA,22,434,13,0,332.3904661351439,0.029953917050691243
yrfATt1akrE,How to make peanut butter #shorts #food #cooking #recipe #ytshorts,2026-06-15T08:00:30Z,How to make peanut butter #shorts #food #cooking #recipe #ytshorts,Anmol fast food Corner ajmer,UCZBMFEsYy_n9ieIGMoc1y1Q,22,512,4,0,392.46282051952767,0.0078125
BIiiwG4wYjY,Instant dahi bhalle #youtube #food #recipe #viral #cooking #trending #easyrecipe #shortsfeed #shorts,2026-06-15T08:00:07Z,#indianfoodies #spicydishes #indianfood #curdcurry #tandoorichai #spicychutney #korma #indianfeast #northindianfood #indiankitchen,Foodie fun with Seema,UCeCyKm-SlCF14u1DJN78v8w,26,851,11,1,649.1371346332983,0.01410105757931845
nD39jO_aZ0w,Easy egg fried rice✨||#food #cooking #recipe #fypシ゚viral #fyp #shorts #viral #trending #shortsfeed,2026-06-15T07:46:00Z,,Tasty Cooking,UCzMcCzUh1TPHCQzHDpK45dQ,26,765,0,1,494.74572228324115,0.00130718954248366
Sh97WPpPotk,#food #cooking #recipe gorom vat r sathe jdi hoy vorta thle r ki lage??,2026-06-15T07:38:54Z,,Urmi Meher,UCkGEEqR0cRgcP6HHMwAKaYA,22,458,0,0,275.14412137688544,0.0
EfuHkc8PeCA,Mutton champaran|bihari style| #food #cooking #recipe #mutton #muttongravy,2026-06-15T07:38:25Z,,Shabana's Family,UCT-DGPWti_qjzWKOQAnGu4w,26,12764,377,7,7631.06066952138,0.030084612973989344
q_-K6H_uX7A,Cute jam shots ❤️😂 #food #recipe #foodie #cooking,2026-06-15T07:35:42Z,,Anamika Barman,UCRUOCsDbUA5QBBtswCIWVwQ,22,18632,1933,17,10845.702195258817,0.10465865178188064
